Price,Net_Area_(m²),Gross_Area_(m²),Room_Count,Bathroom_Count,Area_ratio,NetArea_per_Room,Area_Loss,Is_Studio,Living_Room_Count,Total_Rooms,County_Arnavutköy,County_Ataşehir,County_Avcılar,County_Bahçelievler,County_Bakırköy,County_Bağcılar,County_Başakşehir,County_Beykoz,County_Beylikdüzü,County_Beyoğlu,County_Beşiktaş,County_Büyükçekmece,County_Esenler,County_Esenyurt,County_Eyüpsultan,County_Fatih,County_Gaziosmanpaşa,County_Güngören,County_Kadıköy,County_Kartal,County_Kağıthane,County_Küçükçekmece,County_Maltepe,County_Pendik,County_Sancaktepe,County_Sarıyer,County_Sultanbeyli,County_Sultangazi,County_Tuzla,County_Zeytinburnu,County_Çekmeköy,County_Ümraniye,County_Üsküdar,County_Şişli
20000,82.0,95,2,1,0.8631578947368421,41.0,13.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57000,80.0,90,1,1,0.8888888888888888,80.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110000,72.0,120,3,2,0.6,24.0,48.0,0,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88000,140.0,160,3,2,0.875,46.666666666666664,20.0,0,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45000,60.0,70,1,1,0.8571428571428571,60.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95000,100.0,120,2,2,0.8333333333333334,50.0,20.0,0,1,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75000,75.0,90,2,1,0.8333333333333334,37.5,15.0,0,1,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72000,60.0,70,1,1,0.8571428571428571,60.0,10.0,1,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42000,60.0,70,1,1,0.8571428571428571,60.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
60000,170.0,180,3,2,0.9444444444444444,56.666666666666664,10.0,0,1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
65000,120.0,140,3,1,0.8571428571428571,40.0,20.0,0,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81000,170.0,180,3,1,0.9444444444444444,56.666666666666664,10.0,0,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80000,120.0,135,3,2,0.8888888888888888,40.0,15.0,0,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50000,60.0,70,1,1,0.8571428571428571,60.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75000,70.0,96,1,1,0.7291666666666666,70.0,26.0,0,1,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80000,100.0,140,2,2,0.7142857142857143,50.0,40.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80000,85.0,110,2,2,0.7727272727272727,42.5,25.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80000,80.0,105,2,2,0.7619047619047619,40.0,25.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45000,60.0,70,1,1,0.8571428571428571,60.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50000,52.0,70,1,1,0.7428571428571429,52.0,18.0,0,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
